000 t4 t3 .	111
010 t5 t1 .	111
100 t3 t6 .	111
000 t1 t1 .	111
111 t1 t4 .	111
100 t5 t2 .	011
111 t2 t1 .	011
111 t5 t4 .	011
000 t1 t5 .	011
001 t3 t2 .	011
010 t6 t5 .	010
001 t6 t3 .	010
110 t6 t6 .	010
100 t3 t1 .	010
010 t4 t2 .	010
111 t3 t4 .	110
111 t5 t3 .	110
100 t2 t4 .	110
111 t1 t2 .	110
101 t6 t1 .	110
101 t4 t1 .	001
001 t3 t4 .	001
010 t1 t4 .	001
100 t2 t3 .	001
100 t2 t6 .	001
101 t3 t2 .	101
010 t4 t6 .	101
001 t2 t3 .	101
001 t6 t1 .	101
110 t2 t2 .	101
011 t4 t1 .	000
110 t4 t2 .	000
010 t1 t1 .	000
100 t5 t3 .	000
010 t6 t3 .	000
000 t6 t5 .	100
110 t5 t5 .	100
100 t3 t3 .	100
000 t3 t1 .	100
111 t5 t2 .	100
