101 t3 t1 .	110
101 t5 t5 .	110
011 t3 t6 .	110
011 t5 t6 .	110
000 t1 t4 .	110
100 t5 t6 .	000
010 t6 t1 .	000
110 t4 t2 .	000
000 t2 t1 .	000
110 t3 t5 .	000
001 t4 t4 .	111
100 t4 t5 .	111
101 t2 t2 .	111
111 t4 t2 .	111
111 t3 t1 .	111
000 t6 t5 .	100
011 t6 t2 .	100
000 t3 t6 .	100
110 t1 t6 .	100
011 t6 t6 .	100
000 t6 t1 .	010
111 t4 t1 .	010
010 t2 t4 .	010
110 t5 t1 .	010
101 t4 t6 .	010
100 t2 t3 .	001
110 t4 t6 .	001
101 t4 t1 .	001
110 t6 t2 .	001
101 t6 t5 .	001
001 t4 t5 .	101
001 t6 t6 .	101
101 t5 t1 .	101
011 t1 t1 .	101
101 t4 t3 .	101
001 t4 t3 .	011
101 t1 t6 .	011
111 t2 t1 .	011
110 t2 t6 .	011
000 t2 t2 .	011
