001 t7 t7 .	101
000 t7 t7 .	100
111 t7 t7 .	000
010 t7 t7 .	011
101 t7 t7 .	010
110 t7 t7 .	111
010 t7 t8 .	010
100 t7 t8 .	100
111 t7 t8 .	110
101 t7 t8 .	111
001 t7 t8 .	101
011 t7 t8 .	001
000 t8 t7 .	000
100 t8 t7 .	110
011 t8 t7 .	011
110 t8 t7 .	111
111 t8 t7 .	010
001 t8 t7 .	001
011 t8 t8 .	010
101 t8 t8 .	000
100 t8 t8 .	100
111 t8 t8 .	111
010 t8 t8 .	101
000 t8 t8 .	110
011 t7 t7 .	001
100 t7 t7 .	110
000 t7 t8 .	000
110 t7 t8 .	011
101 t8 t7 .	100
010 t8 t7 .	101
110 t8 t8 .	011
001 t8 t8 .	001
