110 t5 t2 .	111
101 t5 t2 .	010
111 t5 t2 .	100
001 t5 t2 .	101
000 t5 t2 .	001
100 t5 t2 .	011
110 t4 t4 .	110
010 t4 t4 .	010
100 t4 t4 .	011
101 t4 t4 .	100
001 t4 t4 .	111
000 t4 t4 .	000
110 t5 t1 .	010
000 t5 t1 .	001
001 t5 t1 .	110
011 t5 t1 .	011
111 t5 t1 .	100
010 t5 t1 .	111
100 t2 t3 .	001
000 t2 t3 .	000
110 t2 t3 .	111
001 t2 t3 .	101
111 t2 t3 .	011
101 t2 t3 .	100
111 t5 t5 .	111
100 t5 t5 .	010
001 t5 t5 .	001
000 t5 t5 .	000
011 t5 t5 .	101
110 t5 t5 .	100
001 t5 t3 .	111
111 t5 t3 .	110
000 t5 t3 .	101
101 t5 t3 .	010
010 t5 t3 .	001
100 t5 t3 .	000
010 t3 t6 .	101
000 t3 t6 .	100
101 t3 t6 .	011
001 t3 t6 .	000
110 t3 t6 .	010
011 t3 t6 .	110
111 t1 t2 .	110
010 t1 t2 .	011
110 t1 t2 .	100
101 t1 t2 .	101
000 t1 t2 .	000
001 t1 t2 .	001
011 t5 t2 .	110
010 t5 t2 .	000
011 t4 t4 .	001
111 t4 t4 .	101
100 t5 t1 .	000
101 t5 t1 .	101
011 t2 t3 .	110
010 t2 t3 .	010
010 t5 t5 .	011
101 t5 t5 .	110
110 t5 t3 .	100
011 t5 t3 .	011
111 t3 t6 .	001
100 t3 t6 .	111
100 t1 t2 .	111
011 t1 t2 .	010
