101 t8 t7 t7 t8	100
001 t8 t7 t7 t8	101
010 t8 t7 t7 t8	111
011 t8 t7 t7 t8	001
000 t8 t8 t8 t8	011
001 t8 t8 t8 t8	001
100 t8 t8 t8 t8	100
011 t8 t8 t8 t8	101
001 t7 t8 t7 t7	010
110 t7 t8 t7 t7	001
100 t7 t8 t7 t7	110
010 t7 t8 t7 t7	011
011 t7 t7 t8 t7	001
100 t7 t7 t8 t7	111
111 t7 t7 t8 t7	000
101 t7 t7 t8 t7	101
000 t7 t8 t7 t8	000
110 t7 t8 t7 t8	001
010 t7 t8 t7 t8	010
111 t7 t8 t7 t8	011
000 t7 t7 t8 t8	100
011 t7 t7 t8 t8	001
001 t7 t7 t8 t8	000
010 t7 t7 t8 t8	010
111 t8 t8 t8 t7	010
011 t8 t8 t8 t7	101
110 t8 t8 t8 t7	011
001 t8 t8 t8 t7	001
100 t8 t7 t7 t7	111
110 t8 t7 t7 t7	000
001 t8 t7 t7 t7	101
011 t8 t7 t7 t7	001
010 t8 t8 t7 t8	111
001 t8 t8 t7 t8	101
100 t8 t8 t7 t8	100
000 t8 t8 t7 t8	011
100 t7 t7 t7 t8	011
001 t7 t7 t7 t8	111
110 t7 t7 t7 t8	110
010 t7 t7 t7 t8	001
011 t7 t8 t8 t8	001
101 t7 t8 t8 t8	111
111 t7 t8 t8 t8	011
000 t7 t8 t8 t8	110
100 t8 t7 t8 t7	111
010 t8 t7 t8 t7	100
110 t8 t7 t8 t7	010
011 t8 t7 t8 t7	011
011 t8 t7 t8 t8	010
111 t8 t7 t8 t8	101
001 t8 t7 t8 t8	001
100 t8 t7 t8 t8	011
101 t7 t7 t7 t7	011
011 t7 t7 t7 t7	101
001 t7 t7 t7 t7	010
111 t7 t7 t7 t7	100
010 t7 t8 t8 t7	101
011 t7 t8 t8 t7	001
111 t7 t8 t8 t7	111
101 t7 t8 t8 t7	010
100 t8 t8 t7 t7	110
001 t8 t8 t7 t7	101
110 t8 t8 t7 t7	001
101 t8 t8 t7 t7	100
