010 t7 t8 t8 .	110
111 t7 t8 t8 .	101
110 t7 t8 t8 .	000
000 t7 t8 t8 .	010
011 t7 t8 t7 .	110
111 t7 t8 t7 .	101
000 t7 t8 t7 .	011
100 t7 t8 t7 .	001
110 t8 t7 t7 .	010
010 t8 t7 t7 .	111
100 t8 t7 t7 .	101
000 t8 t7 t7 .	011
001 t8 t8 t7 .	110
011 t8 t8 t7 .	000
010 t8 t8 t7 .	111
111 t8 t8 t7 .	010
011 t8 t7 t8 .	000
110 t8 t7 t8 .	111
010 t8 t7 t8 .	011
100 t8 t7 t8 .	101
011 t7 t7 t7 .	110
000 t7 t7 t7 .	001
010 t7 t7 t7 .	100
001 t7 t7 t7 .	111
011 t7 t7 t8 .	100
101 t7 t7 t8 .	110
001 t7 t7 t8 .	011
111 t7 t7 t8 .	010
011 t8 t8 t8 .	110
010 t8 t8 t8 .	011
000 t8 t8 t8 .	101
001 t8 t8 t8 .	100
