111 t5 t2 .	100
100 t1 t3 .	100
000 t5 t4 .	100
101 t2 t3 .	100
100 t4 t1 .	100
110 t6 t1 .	001
100 t5 t4 .	001
111 t3 t6 .	001
101 t4 t2 .	001
000 t4 t5 .	001
000 t4 t6 .	011
110 t2 t6 .	011
011 t3 t3 .	011
111 t6 t3 .	011
100 t2 t5 .	011
011 t4 t1 .	000
101 t6 t4 .	000
000 t1 t2 .	000
100 t5 t6 .	000
111 t3 t2 .	000
101 t5 t1 .	101
001 t6 t1 .	101
000 t5 t3 .	101
101 t2 t4 .	101
000 t6 t4 .	101
111 t4 t2 .	111
011 t3 t4 .	111
100 t3 t2 .	111
101 t3 t3 .	111
001 t4 t4 .	111
010 t4 t5 .	110
111 t2 t6 .	110
111 t2 t2 .	110
011 t3 t6 .	110
110 t4 t4 .	110
001 t6 t2 .	010
010 t2 t2 .	010
001 t3 t5 .	010
010 t3 t4 .	010
000 t5 t6 .	010
